entry,at,order
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (18.99) | #9 ""Sean @ I9uEZMV7hl"" (13.88) | #10 ""Owen @ JGirBATScU"" (52.13)",2023-07-06T04:23:48.684Z,168861742868401
"-- starting hand #158 (id: dzvecq0ckwyi)  (No Limit Texas Hold'em) (dealer: ""Sean @ I9uEZMV7hl"") --",2023-07-06T04:23:48.684Z,168861742868400
"-- ending hand #157 --",2023-07-06T04:23:42.677Z,168861742267702
"""Dirty Diaper @ 8pl6FnZxfN"" collected 5.50 from pot with Flush, Qh High (combination: Q♥, J♥, 9♥, 8♥, 7♥)",2023-07-06T04:23:42.677Z,168861742267701
"""Dirty Diaper @ 8pl6FnZxfN"" shows a 9♥, Q♥.",2023-07-06T04:23:42.677Z,168861742267700
"""Sean @ I9uEZMV7hl"" calls 1.65",2023-07-06T04:23:41.840Z,168861742184000
"""Dirty Diaper @ 8pl6FnZxfN"" bets 1.65",2023-07-06T04:23:37.090Z,168861741709000
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:23:32.988Z,168861741298800
"River: 8♥, J♥, 7♣, 3♦ [7♥]",2023-07-06T04:23:18.632Z,168861739863200
"""Sean @ I9uEZMV7hl"" calls 0.20",2023-07-06T04:23:17.803Z,168861739780300
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.20",2023-07-06T04:23:13.911Z,168861739391100
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:23:11.563Z,168861739156300
"Turn: 8♥, J♥, 7♣ [3♦]",2023-07-06T04:23:06.910Z,168861738691000
"""Dirty Diaper @ 8pl6FnZxfN"" calls 0.60",2023-07-06T04:23:06.081Z,168861738608100
"""Owen @ JGirBATScU"" folds",2023-07-06T04:23:05.199Z,168861738519900
"""Sean @ I9uEZMV7hl"" bets 0.60",2023-07-06T04:23:00.243Z,168861738024300
"Flop:  [8♥, J♥, 7♣]",2023-07-06T04:22:51.894Z,168861737189400
"""Owen @ JGirBATScU"" checks",2023-07-06T04:22:51.042Z,168861737104200
"""Sean @ I9uEZMV7hl"" calls 0.20",2023-07-06T04:22:49.381Z,168861736938100
"""Dirty Diaper @ 8pl6FnZxfN"" calls 0.20",2023-07-06T04:22:46.970Z,168861736697000
"""Owen @ JGirBATScU"" posts a big blind of 0.20",2023-07-06T04:22:32.098Z,168861735209806
"""Sean @ I9uEZMV7hl"" posts a small blind of 0.10",2023-07-06T04:22:32.098Z,168861735209805
"Your hand is K♣, 5♥",2023-07-06T04:22:32.098Z,168861735209804
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (16.14) | #9 ""Sean @ I9uEZMV7hl"" (16.53) | #10 ""Owen @ JGirBATScU"" (52.33)",2023-07-06T04:22:32.098Z,168861735209801
"-- starting hand #157 (id: gmh6ruhqfrjl)  (No Limit Texas Hold'em) (dealer: ""Dirty Diaper @ 8pl6FnZxfN"") --",2023-07-06T04:22:32.098Z,168861735209800
"-- ending hand #156 --",2023-07-06T04:22:26.056Z,168861734605602
"""Owen @ JGirBATScU"" collected 4.80 from pot with Two Pair, Q's & 8's (combination: Q♣, Q♠, 8♠, 8♣, A♦)",2023-07-06T04:22:26.056Z,168861734605601
"""Owen @ JGirBATScU"" shows a 8♠, Q♣.",2023-07-06T04:22:26.056Z,168861734605600
"""Dirty Diaper @ 8pl6FnZxfN"" calls 1.60",2023-07-06T04:22:25.230Z,168861734523000
"""Owen @ JGirBATScU"" bets 1.60",2023-07-06T04:22:23.427Z,168861734342700
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:22:18.140Z,168861733814000
"River: 8♣, 10♦, 5♦, A♦ [Q♠]",2023-07-06T04:22:16.442Z,168861733644200
"""Owen @ JGirBATScU"" calls 0.20",2023-07-06T04:22:15.588Z,168861733558800
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.20",2023-07-06T04:22:14.087Z,168861733408700
"Turn: 8♣, 10♦, 5♦ [A♦]",2023-07-06T04:22:10.636Z,168861733063600
"""Owen @ JGirBATScU"" calls 0.30",2023-07-06T04:22:09.779Z,168861732977900
"""Sean @ I9uEZMV7hl"" folds",2023-07-06T04:22:07.525Z,168861732752500
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.30",2023-07-06T04:22:05.629Z,168861732562900
"Flop:  [8♣, 10♦, 5♦]",2023-07-06T04:21:59.754Z,168861731975400
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:21:58.927Z,168861731892700
"""Dirty Diaper @ 8pl6FnZxfN"" calls 0.20",2023-07-06T04:21:57.312Z,168861731731200
"""Owen @ JGirBATScU"" calls 0.20",2023-07-06T04:21:54.925Z,168861731492500
"""Sean @ I9uEZMV7hl"" posts a big blind of 0.20",2023-07-06T04:21:50.743Z,168861731074306
"""Dirty Diaper @ 8pl6FnZxfN"" posts a small blind of 0.10",2023-07-06T04:21:50.743Z,168861731074305
"Your hand is 8♠, Q♣",2023-07-06T04:21:50.743Z,168861731074304
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (18.44) | #9 ""Sean @ I9uEZMV7hl"" (16.73) | #10 ""Owen @ JGirBATScU"" (49.83)",2023-07-06T04:21:50.743Z,168861731074301
"-- starting hand #156 (id: il0piwaympwb)  (No Limit Texas Hold'em) (dealer: ""Owen @ JGirBATScU"") --",2023-07-06T04:21:50.743Z,168861731074300
"-- ending hand #155 --",2023-07-06T04:21:44.730Z,168861730473002
"""Dirty Diaper @ 8pl6FnZxfN"" collected 4.48 from pot with Straight, 10 High (combination: 10♥, 9♠, 8♦, 7♦, 6♥)",2023-07-06T04:21:44.730Z,168861730473001
"""Dirty Diaper @ 8pl6FnZxfN"" shows a 7♦, 10♥.",2023-07-06T04:21:44.730Z,168861730473000
"""Sean @ I9uEZMV7hl"" calls 1.12",2023-07-06T04:21:43.905Z,168861730390500
"""Dirty Diaper @ 8pl6FnZxfN"" bets 1.12",2023-07-06T04:21:40.681Z,168861730068100
"River: 8♦, 4♥, 9♠, 6♥ [2♦]",2023-07-06T04:21:33.199Z,168861729319900
"""Sean @ I9uEZMV7hl"" calls 0.67",2023-07-06T04:21:32.390Z,168861729239000
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.67",2023-07-06T04:21:25.647Z,168861728564700
"Turn: 8♦, 4♥, 9♠ [6♥]",2023-07-06T04:21:20.633Z,168861728063300
"""Sean @ I9uEZMV7hl"" calls 0.20",2023-07-06T04:21:19.818Z,168861727981800
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.20",2023-07-06T04:21:17.067Z,168861727706700
"Flop:  [8♦, 4♥, 9♠]",2023-07-06T04:21:13.181Z,168861727318100
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:21:12.372Z,168861727237200
"""Owen @ JGirBATScU"" folds",2023-07-06T04:21:08.852Z,168861726885200
"""Sean @ I9uEZMV7hl"" calls 0.20",2023-07-06T04:21:03.486Z,168861726348600
"""Dirty Diaper @ 8pl6FnZxfN"" posts a big blind of 0.20",2023-07-06T04:21:01.621Z,168861726162106
"""Owen @ JGirBATScU"" posts a small blind of 0.10",2023-07-06T04:21:01.621Z,168861726162105
"Your hand is 10♣, 2♥",2023-07-06T04:21:01.621Z,168861726162104
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (16.15) | #9 ""Sean @ I9uEZMV7hl"" (18.92) | #10 ""Owen @ JGirBATScU"" (49.93)",2023-07-06T04:21:01.621Z,168861726162101
"-- starting hand #155 (id: mu2fyjjb4ebz)  (No Limit Texas Hold'em) (dealer: ""Sean @ I9uEZMV7hl"") --",2023-07-06T04:21:01.621Z,168861726162100
"-- ending hand #154 --",2023-07-06T04:20:58.696Z,168861725869602
"""Dirty Diaper @ 8pl6FnZxfN"" collected 1.40 from pot",2023-07-06T04:20:58.696Z,168861725869601
"Uncalled bet of 1.05 returned to ""Dirty Diaper @ 8pl6FnZxfN""",2023-07-06T04:20:58.696Z,168861725869600
"""Sean @ I9uEZMV7hl"" folds",2023-07-06T04:20:57.813Z,168861725781300
"""Dirty Diaper @ 8pl6FnZxfN"" bets 1.05",2023-07-06T04:20:55.371Z,168861725537100
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:20:49.730Z,168861724973000
"Turn: 10♥, 2♣, 7♣ [8♣]",2023-07-06T04:20:46.569Z,168861724656900
"""Sean @ I9uEZMV7hl"" calls 0.20",2023-07-06T04:20:45.749Z,168861724574900
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.20",2023-07-06T04:20:42.684Z,168861724268400
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:20:38.464Z,168861723846400
"Flop:  [10♥, 2♣, 7♣]",2023-07-06T04:20:36.354Z,168861723635400
"""Owen @ JGirBATScU"" folds",2023-07-06T04:20:35.504Z,168861723550400
"""Sean @ I9uEZMV7hl"" calls 0.40",2023-07-06T04:20:31.345Z,168861723134500
"""Dirty Diaper @ 8pl6FnZxfN"" raises to 0.40",2023-07-06T04:20:28.536Z,168861722853600
"""Owen @ JGirBATScU"" posts a big blind of 0.20",2023-07-06T04:20:24.720Z,168861722472006
"""Sean @ I9uEZMV7hl"" posts a small blind of 0.10",2023-07-06T04:20:24.720Z,168861722472005
"Your hand is 3♠, 2♦",2023-07-06T04:20:24.720Z,168861722472004
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (15.35) | #9 ""Sean @ I9uEZMV7hl"" (19.52) | #10 ""Owen @ JGirBATScU"" (50.13)",2023-07-06T04:20:24.720Z,168861722472001
"-- starting hand #154 (id: ebszcnqvt1f7)  (No Limit Texas Hold'em) (dealer: ""Dirty Diaper @ 8pl6FnZxfN"") --",2023-07-06T04:20:24.720Z,168861722472000
"-- ending hand #153 --",2023-07-06T04:20:18.627Z,168861721862703
"""Dirty Diaper @ 8pl6FnZxfN"" shows a 7♥, A♥.",2023-07-06T04:20:18.627Z,168861721862702
"""Sean @ I9uEZMV7hl"" collected 2.40 from pot with Straight, K High (combination: K♣, Q♣, J♥, 10♣, 9♣)",2023-07-06T04:20:18.627Z,168861721862701
"""Sean @ I9uEZMV7hl"" shows a 9♣, Q♣.",2023-07-06T04:20:18.627Z,168861721862700
"""Sean @ I9uEZMV7hl"" calls 0.80",2023-07-06T04:20:17.811Z,168861721781100
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.80",2023-07-06T04:20:12.527Z,168861721252700
"River: 10♣, 6♦, 4♦, K♣ [J♥]",2023-07-06T04:19:59.514Z,168861719951400
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:19:58.690Z,168861719869000
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:19:50.897Z,168861719089700
"Turn: 10♣, 6♦, 4♦ [K♣]",2023-07-06T04:19:48.488Z,168861718848800
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:19:47.666Z,168861718766600
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:19:40.719Z,168861718071900
"Flop:  [10♣, 6♦, 4♦]",2023-07-06T04:19:30.020Z,168861717002000
"""Sean @ I9uEZMV7hl"" calls 0.40",2023-07-06T04:19:29.206Z,168861716920600
"""Dirty Diaper @ 8pl6FnZxfN"" raises to 0.40",2023-07-06T04:19:27.860Z,168861716786000
"""Owen @ JGirBATScU"" folds",2023-07-06T04:19:24.575Z,168861716457500
"""Sean @ I9uEZMV7hl"" posts a big blind of 0.20",2023-07-06T04:19:22.615Z,168861716261506
"""Dirty Diaper @ 8pl6FnZxfN"" posts a small blind of 0.10",2023-07-06T04:19:22.615Z,168861716261505
"Your hand is 2♦, 9♠",2023-07-06T04:19:22.615Z,168861716261504
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (16.55) | #9 ""Sean @ I9uEZMV7hl"" (18.32) | #10 ""Owen @ JGirBATScU"" (50.13)",2023-07-06T04:19:22.615Z,168861716261501
"-- starting hand #153 (id: q2ekzu9hnqra)  (No Limit Texas Hold'em) (dealer: ""Owen @ JGirBATScU"") --",2023-07-06T04:19:22.615Z,168861716261500
"-- ending hand #152 --",2023-07-06T04:19:19.615Z,168861715961502
"""Dirty Diaper @ 8pl6FnZxfN"" collected 0.50 from pot",2023-07-06T04:19:19.615Z,168861715961501
"Uncalled bet of 0.50 returned to ""Dirty Diaper @ 8pl6FnZxfN""",2023-07-06T04:19:19.615Z,168861715961500
"""Sean @ I9uEZMV7hl"" folds",2023-07-06T04:19:18.739Z,168861715873900
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.50",2023-07-06T04:19:11.983Z,168861715198300
"River: 2♥, 6♣, 9♠, 7♦ [5♦]",2023-07-06T04:19:07.195Z,168861714719500
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:19:06.387Z,168861714638700
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:19:03.694Z,168861714369400
"Turn: 2♥, 6♣, 9♠ [7♦]",2023-07-06T04:19:01.623Z,168861714162300
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:19:00.806Z,168861714080600
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:18:58.642Z,168861713864200
"Flop:  [2♥, 6♣, 9♠]",2023-07-06T04:18:40.578Z,168861712057800
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:18:39.741Z,168861711974100
"""Owen @ JGirBATScU"" folds",2023-07-06T04:18:34.717Z,168861711471700
"""Sean @ I9uEZMV7hl"" calls 0.20",2023-07-06T04:18:29.728Z,168861710972800
"""Dirty Diaper @ 8pl6FnZxfN"" posts a big blind of 0.20",2023-07-06T04:18:27.761Z,168861710776106
"""Owen @ JGirBATScU"" posts a small blind of 0.10",2023-07-06T04:18:27.761Z,168861710776105
"Your hand is 3♥, J♠",2023-07-06T04:18:27.761Z,168861710776104
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (16.25) | #9 ""Sean @ I9uEZMV7hl"" (18.52) | #10 ""Owen @ JGirBATScU"" (50.23)",2023-07-06T04:18:27.761Z,168861710776101
"-- starting hand #152 (id: 5vm9jjhaq1zu)  (No Limit Texas Hold'em) (dealer: ""Sean @ I9uEZMV7hl"") --",2023-07-06T04:18:27.761Z,168861710776100
"-- ending hand #151 --",2023-07-06T04:18:24.854Z,168861710485402
"""Owen @ JGirBATScU"" collected 0.40 from pot",2023-07-06T04:18:24.854Z,168861710485401
"Uncalled bet of 0.40 returned to ""Owen @ JGirBATScU""",2023-07-06T04:18:24.854Z,168861710485400
"""Sean @ I9uEZMV7hl"" folds",2023-07-06T04:18:23.989Z,168861710398900
"""Owen @ JGirBATScU"" bets 0.40",2023-07-06T04:18:20.521Z,168861710052100
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:18:17.169Z,168861709716900
"Turn: 6♦, 3♠, A♦ [5♠]",2023-07-06T04:18:15.458Z,168861709545800
"""Owen @ JGirBATScU"" checks",2023-07-06T04:18:14.556Z,168861709455600
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:18:12.823Z,168861709282300
"Flop:  [6♦, 3♠, A♦]",2023-07-06T04:18:11.231Z,168861709123100
"""Owen @ JGirBATScU"" checks",2023-07-06T04:18:10.363Z,168861709036300
"""Sean @ I9uEZMV7hl"" calls 0.20",2023-07-06T04:18:08.519Z,168861708851900
"""Dirty Diaper @ 8pl6FnZxfN"" folds",2023-07-06T04:18:05.857Z,168861708585700
"""Owen @ JGirBATScU"" posts a big blind of 0.20",2023-07-06T04:17:50.323Z,168861707032306
"""Sean @ I9uEZMV7hl"" posts a small blind of 0.10",2023-07-06T04:17:50.323Z,168861707032305
"Your hand is 4♥, 7♥",2023-07-06T04:17:50.323Z,168861707032304
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (16.25) | #9 ""Sean @ I9uEZMV7hl"" (18.72) | #10 ""Owen @ JGirBATScU"" (50.03)",2023-07-06T04:17:50.323Z,168861707032301
"-- starting hand #151 (id: 3uqc8i6dtysv)  (No Limit Texas Hold'em) (dealer: ""Dirty Diaper @ 8pl6FnZxfN"") --",2023-07-06T04:17:50.323Z,168861707032300
"-- ending hand #150 --",2023-07-06T04:17:47.409Z,168861706740902
"""Dirty Diaper @ 8pl6FnZxfN"" collected 0.80 from pot",2023-07-06T04:17:47.409Z,168861706740901
"Uncalled bet of 0.80 returned to ""Dirty Diaper @ 8pl6FnZxfN""",2023-07-06T04:17:47.409Z,168861706740900
"""Sean @ I9uEZMV7hl"" folds",2023-07-06T04:17:46.520Z,168861706652000
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.80",2023-07-06T04:17:44.983Z,168861706498300
"River: 4♠, 10♥, 8♦, 5♣ [K♠]",2023-07-06T04:17:39.648Z,168861705964800
"""Sean @ I9uEZMV7hl"" calls 0.20",2023-07-06T04:17:38.828Z,168861705882800
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.20",2023-07-06T04:17:35.647Z,168861705564700
"Turn: 4♠, 10♥, 8♦ [5♣]",2023-07-06T04:17:33.604Z,168861705360400
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:17:32.730Z,168861705273000
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:17:31.068Z,168861705106800
"Flop:  [4♠, 10♥, 8♦]",2023-07-06T04:17:27.913Z,168861704791300
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:17:27.094Z,168861704709400
"""Dirty Diaper @ 8pl6FnZxfN"" calls 0.20",2023-07-06T04:17:26.237Z,168861704623700
"""Owen @ JGirBATScU"" folds",2023-07-06T04:17:23.867Z,168861704386700
"""Sean @ I9uEZMV7hl"" posts a big blind of 0.20",2023-07-06T04:17:21.401Z,168861704140106
"""Dirty Diaper @ 8pl6FnZxfN"" posts a small blind of 0.10",2023-07-06T04:17:21.401Z,168861704140105
"Your hand is J♠, 2♦",2023-07-06T04:17:21.401Z,168861704140104
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (15.85) | #9 ""Sean @ I9uEZMV7hl"" (19.12) | #10 ""Owen @ JGirBATScU"" (50.03)",2023-07-06T04:17:21.401Z,168861704140101
"-- starting hand #150 (id: tgcfumsfuevk)  (No Limit Texas Hold'em) (dealer: ""Owen @ JGirBATScU"") --",2023-07-06T04:17:21.401Z,168861704140100
"-- ending hand #149 --",2023-07-06T04:17:15.393Z,168861703539304
"""Owen @ JGirBATScU"" collected 0.30 from pot with Pair, 9's (combination: 9♠, 9♥, A♣, J♦, 8♠)",2023-07-06T04:17:15.393Z,168861703539303
"""Owen @ JGirBATScU"" shows a 6♦, 9♠.",2023-07-06T04:17:15.393Z,168861703539302
"""Sean @ I9uEZMV7hl"" collected 0.30 from pot with Pair, 9's (combination: 9♦, 9♥, A♣, J♦, 8♠)",2023-07-06T04:17:15.393Z,168861703539301
"""Sean @ I9uEZMV7hl"" shows a 7♥, 9♦.",2023-07-06T04:17:15.393Z,168861703539300
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:17:14.476Z,168861703447600
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:17:12.610Z,168861703261000
"""Owen @ JGirBATScU"" checks",2023-07-06T04:17:10.651Z,168861703065100
"River: 8♠, 4♥, A♣, J♦ [9♥]",2023-07-06T04:17:08.068Z,168861702806800
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:17:07.243Z,168861702724300
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:17:06.362Z,168861702636200
"""Owen @ JGirBATScU"" checks",2023-07-06T04:17:01.498Z,168861702149800
"Turn: 8♠, 4♥, A♣ [J♦]",2023-07-06T04:16:59.266Z,168861701926600
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:16:58.447Z,168861701844700
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:16:57.557Z,168861701755700
"""Owen @ JGirBATScU"" checks",2023-07-06T04:16:55.139Z,168861701513900
"Flop:  [8♠, 4♥, A♣]",2023-07-06T04:16:51.460Z,168861701146000
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:16:50.632Z,168861701063200
"""Owen @ JGirBATScU"" calls 0.20",2023-07-06T04:16:47.541Z,168861700754100
"""Sean @ I9uEZMV7hl"" calls 0.20",2023-07-06T04:16:43.643Z,168861700364300
"""Dirty Diaper @ 8pl6FnZxfN"" posts a big blind of 0.20",2023-07-06T04:16:41.109Z,168861700110906
"""Owen @ JGirBATScU"" posts a small blind of 0.10",2023-07-06T04:16:41.109Z,168861700110905
"Your hand is 6♦, 9♠",2023-07-06T04:16:41.109Z,168861700110904
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (16.05) | #9 ""Sean @ I9uEZMV7hl"" (19.02) | #10 ""Owen @ JGirBATScU"" (49.93)",2023-07-06T04:16:41.109Z,168861700110901
"-- starting hand #149 (id: hxgbze3gyizg)  (No Limit Texas Hold'em) (dealer: ""Sean @ I9uEZMV7hl"") --",2023-07-06T04:16:41.109Z,168861700110900
"""Owen @ JGirBATScU"" shows a 10♠, 6♦.",2023-07-06T04:16:38.782Z,168861699878200
"-- ending hand #148 --",2023-07-06T04:16:37.504Z,168861699750402
"""Owen @ JGirBATScU"" collected 3.20 from pot",2023-07-06T04:16:37.504Z,168861699750401
"Uncalled bet of 1.60 returned to ""Owen @ JGirBATScU""",2023-07-06T04:16:37.504Z,168861699750400
"""Dirty Diaper @ 8pl6FnZxfN"" folds",2023-07-06T04:16:36.663Z,168861699666300
"""Owen @ JGirBATScU"" bets 1.60",2023-07-06T04:16:20.037Z,168861698003700
"River: Q♦, 6♠, 3♠, 9♠ [3♣]",2023-07-06T04:16:15.697Z,168861697569700
"""Dirty Diaper @ 8pl6FnZxfN"" calls 0.80",2023-07-06T04:16:14.822Z,168861697482200
"""Owen @ JGirBATScU"" bets 0.80",2023-07-06T04:16:13.314Z,168861697331400
"Turn: Q♦, 6♠, 3♠ [9♠]",2023-07-06T04:16:06.399Z,168861696639900
"""Owen @ JGirBATScU"" calls 0.20",2023-07-06T04:16:05.549Z,168861696554900
"""Sean @ I9uEZMV7hl"" folds",2023-07-06T04:16:02.952Z,168861696295200
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.20",2023-07-06T04:15:58.414Z,168861695841400
"""Owen @ JGirBATScU"" checks",2023-07-06T04:15:53.809Z,168861695380900
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:15:50.415Z,168861695041500
"Flop:  [Q♦, 6♠, 3♠]",2023-07-06T04:15:47.095Z,168861694709500
"""Owen @ JGirBATScU"" calls 0.40",2023-07-06T04:15:46.258Z,168861694625800
"""Sean @ I9uEZMV7hl"" calls 0.40",2023-07-06T04:15:44.095Z,168861694409500
"""Dirty Diaper @ 8pl6FnZxfN"" raises to 0.40",2023-07-06T04:15:42.539Z,168861694253900
"""Owen @ JGirBATScU"" posts a big blind of 0.20",2023-07-06T04:15:35.857Z,168861693585706
"""Sean @ I9uEZMV7hl"" posts a small blind of 0.10",2023-07-06T04:15:35.857Z,168861693585705
"Your hand is 10♠, 6♦",2023-07-06T04:15:35.857Z,168861693585704
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (17.45) | #9 ""Sean @ I9uEZMV7hl"" (19.42) | #10 ""Owen @ JGirBATScU"" (48.13)",2023-07-06T04:15:35.857Z,168861693585701
"-- starting hand #148 (id: p3prwy166cum)  (No Limit Texas Hold'em) (dealer: ""Dirty Diaper @ 8pl6FnZxfN"") --",2023-07-06T04:15:35.857Z,168861693585700
"""Sean @ I9uEZMV7hl"" shows a 4♠, K♠.",2023-07-06T04:15:34.056Z,168861693405600
"-- ending hand #147 --",2023-07-06T04:15:32.233Z,168861693223302
"""Dirty Diaper @ 8pl6FnZxfN"" collected 0.40 from pot",2023-07-06T04:15:32.233Z,168861693223301
"Uncalled bet of 0.80 returned to ""Dirty Diaper @ 8pl6FnZxfN""",2023-07-06T04:15:32.233Z,168861693223300
"""Sean @ I9uEZMV7hl"" folds",2023-07-06T04:15:31.409Z,168861693140900
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.80",2023-07-06T04:15:25.995Z,168861692599500
"Turn: J♥, 2♣, 2♥ [Q♠]",2023-07-06T04:15:17.567Z,168861691756700
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:15:16.648Z,168861691664800
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:15:15.333Z,168861691533300
"Flop:  [J♥, 2♣, 2♥]",2023-07-06T04:15:04.003Z,168861690400300
"""Sean @ I9uEZMV7hl"" checks",2023-07-06T04:15:03.091Z,168861690309100
"""Dirty Diaper @ 8pl6FnZxfN"" calls 0.20",2023-07-06T04:15:00.390Z,168861690039000
"""Owen @ JGirBATScU"" folds",2023-07-06T04:14:57.828Z,168861689782800
"""Sean @ I9uEZMV7hl"" posts a big blind of 0.20",2023-07-06T04:14:49.328Z,168861688932806
"""Dirty Diaper @ 8pl6FnZxfN"" posts a small blind of 0.10",2023-07-06T04:14:49.328Z,168861688932805
"Your hand is J♠, 4♣",2023-07-06T04:14:49.328Z,168861688932804
"Player stacks: #1 ""Dirty Diaper @ 8pl6FnZxfN"" (17.25) | #9 ""Sean @ I9uEZMV7hl"" (19.62) | #10 ""Owen @ JGirBATScU"" (48.13)",2023-07-06T04:14:49.328Z,168861688932801
"-- starting hand #147 (id: zgge297jvk3f)  (No Limit Texas Hold'em) (dealer: ""Owen @ JGirBATScU"") --",2023-07-06T04:14:49.328Z,168861688932800
"-- ending hand #146 --",2023-07-06T04:14:43.323Z,168861688332303
"""Dirty Diaper @ 8pl6FnZxfN"" shows a K♠, 5♠.",2023-07-06T04:14:43.323Z,168861688332302
"""Sean @ I9uEZMV7hl"" collected 6.00 from pot with Two Pair, 9's & 8's (combination: 9♣, 9♥, 8♠, 8♣, A♠)",2023-07-06T04:14:43.323Z,168861688332301
"""Sean @ I9uEZMV7hl"" shows a J♦, 9♣.",2023-07-06T04:14:43.323Z,168861688332300
"""Owen @ JGirBATScU"" folds",2023-07-06T04:14:42.508Z,168861688250800
"""Sean @ I9uEZMV7hl"" calls 1.50",2023-07-06T04:14:40.308Z,168861688030800
"""Dirty Diaper @ 8pl6FnZxfN"" bets 1.50",2023-07-06T04:14:27.269Z,168861686726900
"""Owen @ JGirBATScU"" checks",2023-07-06T04:14:21.081Z,168861686108100
"River: 9♥, Q♥, 8♠, 8♣ [A♠]",2023-07-06T04:14:19.320Z,168861685932000
"""Owen @ JGirBATScU"" calls 0.20",2023-07-06T04:14:18.485Z,168861685848500
"""Sean @ I9uEZMV7hl"" calls 0.20",2023-07-06T04:14:17.377Z,168861685737700
"""Dirty Diaper @ 8pl6FnZxfN"" bets 0.20",2023-07-06T04:14:15.419Z,168861685541900
"""Owen @ JGirBATScU"" checks",2023-07-06T04:14:05.099Z,168861684509900
"Turn: 9♥, Q♥, 8♠ [8♣]",2023-07-06T04:14:02.299Z,168861684229900
"""Sean @ I9uEZMV7hl"" calls 0.60",2023-07-06T04:14:01.480Z,168861684148000
"""Dirty Diaper @ 8pl6FnZxfN"" calls 0.60",2023-07-06T04:13:54.407Z,168861683440700
"""Owen @ JGirBATScU"" bets 0.60",2023-07-06T04:13:52.017Z,168861683201700
"Flop:  [9♥, Q♥, 8♠]",2023-07-06T04:13:45.667Z,168861682566700
"""Dirty Diaper @ 8pl6FnZxfN"" checks",2023-07-06T04:13:44.775Z,168861682477500
"""Owen @ JGirBATScU"" calls 0.20",2023-07-06T04:13:42.473Z,168861682247300
"""Sean @ I9uEZMV7hl"" calls 0.20",2023-07-06T04:13:40.131Z,168861682013100
